alpha,Cl,Cd,Re,Cl/Cd
-4.91,-0.45,0.0292,60400,-15.4109589
-4.14,-0.39984852,0.02522872,60400,-15.848942
-3.37,-0.349,0.0229,60400,-15.24017467
-2.61,-0.29271037,0.02192984,60400,-13.34758348
-1.85,-0.225,0.022,60400,-10.22727273
-1.08,-0.13943333,0.02292373,60400,-6.082488757
-0.31,-0.032,0.0248,60400,-1.290322581
0.47,0.09841632,0.02761839,60400,3.563434364
1.25,0.228,0.0304,60400,7.5
2.025,0.33452901,0.03221136,60400,10.38543576
2.8,0.423,0.0332,60400,12.74096386
3.56,0.50079327,0.03373981,60400,14.84280054
4.32,0.572,0.0342,60400,16.7251462
5.085,0.63796321,0.03481848,60400,18.32254625
5.85,0.7,0.0354,60400,19.7740113
6.625,0.76079259,0.03569039,60400,21.31645493
7.4,0.821,0.0356,60400,23.06179775
8.165,0.88038526,0.03521972,60400,24.99694092
8.93,0.937,0.0351,60400,26.6951567
10.08,1.00912803,0.03687282,60400,27.36780181
11.23,1.055,0.043,60400,24.53488372
