粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻,每米宽度流量
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.599,8.278,4.631,103.377,1.455,0.994,2.31,15,6.722,79.773,1.885,0.986,2.31,15,15,78.61,1,0.986,2.07,8.845,6.155,63.912,1.23,0.981,1.748,0,8.845,50,1.572,0.969,1.885,1.885,370.6,150.37,2262,133,1.595,1.595,148.68,8.46,-277,-16.3,3.007,3.007,519.28,158.83,2539,149.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.599,8.278,4.631,103.377,1.455,0.994,2.31,15,6.722,79.773,1.885,0.986,2.31,15,15,78.591,1,0.986,1.993,6.845,8.155,60.244,1.305,0.974,1.749,0,6.845,50,1.572,0.969,1.885,1.885,370.6,150.37,2208,129.9,1.595,1.595,139.87,6.11,-225,-13.2,3.007,3.007,510.47,156.49,2432,143.1,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.509,10.278,4.631,95.452,1.575,0.989,2.311,15,4.722,79.773,1.885,0.986,2.311,15,15,78.627,1,0.986,2.071,8.845,6.155,63.92,1.23,0.981,1.749,0,8.845,50,1.573,0.97,1.885,1.885,343.38,150.37,2260,133,1.595,1.595,148.76,8.46,-277,-16.3,3.007,3.007,492.14,158.83,2537,149.3,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.509,10.278,4.631,95.452,1.575,0.989,2.311,15,4.722,79.773,1.885,0.986,2.311,15,15,78.608,1,0.986,1.994,6.845,8.155,60.249,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,343.38,150.37,2206,129.8,1.595,1.595,139.95,6.12,-225,-13.2,3.007,3.007,483.33,156.49,2431,143,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.598,8.278,2.631,103.496,1.453,0.992,2.309,15,6.722,79.878,1.883,0.983,2.309,15,15,78.584,1,0.983,2.069,8.845,6.155,63.9,1.23,0.978,1.747,0,8.845,50,1.572,0.967,1.883,1.883,343.38,150.37,2264,133.2,1.598,1.598,148.55,8.45,-277,-16.3,3.007,3.007,491.93,158.82,2540,149.4,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.598,8.278,2.631,103.496,1.453,0.992,2.309,15,6.722,79.878,1.883,0.983,2.309,15,15,78.566,1,0.983,1.992,6.845,8.155,60.235,1.304,0.972,1.748,0,6.845,50,1.571,0.967,1.883,1.883,343.38,150.37,2210,130,1.598,1.598,139.75,6.11,-224,-13.2,3.007,3.007,483.13,156.48,2434,143.2,17
0,0,1,3,0,0,150.374,1,1,2.669,6.647,6.647,111.112,1.353,0.988,2.492,10.635,3.988,94.241,1.596,0.986,2.31,15,4.365,79.884,1.882,0.984,2.31,15,15,78.599,1,0.984,2.07,8.845,6.155,63.906,1.23,0.979,1.748,0,8.845,50,1.572,0.967,1.882,1.882,330.47,150.37,2263,133.1,1.598,1.598,148.62,8.45,-277,-16.3,3.007,3.007,479.09,158.83,2539,149.4,17
0,0,1,3,0,0,150.374,1,1,2.669,6.647,6.647,111.112,1.353,0.988,2.492,10.635,3.988,94.241,1.596,0.986,2.31,15,4.365,79.884,1.882,0.984,2.31,15,15,78.58,1,0.984,1.993,6.845,8.155,60.24,1.304,0.972,1.748,0,6.845,50,1.572,0.967,1.882,1.882,330.47,150.37,2209,129.9,1.598,1.598,139.82,6.11,-224,-13.2,3.007,3.007,470.28,156.49,2433,143.1,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.619,1,0.986,2.071,8.845,6.155,63.916,1.23,0.981,1.749,0,8.845,50,1.572,0.97,1.885,1.885,356.76,150.37,2261,133,1.595,1.595,148.73,8.46,-277,-16.3,3.007,3.007,505.48,158.83,2538,149.3,17
0,0,1,3,0,0,150.374,1,1,2.767,4.647,4.647,120.977,1.243,0.996,2.583,8.635,3.988,101.888,1.476,0.993,2.311,15,6.365,79.759,1.885,0.986,2.311,15,15,78.601,1,0.986,1.993,6.845,8.155,60.247,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,356.76,150.37,2207,129.8,1.595,1.595,139.91,6.12,-225,-13.2,3.007,3.007,496.67,156.49,2431,143,17
