粘性,钝度,二维,第1壁面切向角,第2壁面切向角,第3壁面切向角,第4壁面切向角,来流马赫数,喉道高度,喉道马赫数,流量系数,总压恢复系数,比阻,内收缩比,总收缩比,捕获流量
0,0,1,4.647,10.635,15,2,3,150.374,1.733,1,0.945,118.5,1.595,3.007,17
0,0,1,4.647,10.635,15,0,3,150.374,1.719,1,0.926,119.9,1.595,3.007,17
0,0,1,4.647,11.635,15,10,3,150.374,1.745,1,0.964,117.1,1.598,3.007,17
0,0,1,4.647,11.635,15,7.845,3,150.374,1.748,1,0.968,116.7,1.598,3.007,17
0,0,1,4.647,11.635,15,6,3,150.374,1.747,1,0.965,116.9,1.598,3.007,17
0,0,1,4.647,11.635,15,4,3,150.374,1.741,1,0.957,117.5,1.598,3.007,17
0,0,1,4.647,11.635,15,2,3,150.374,1.731,1,0.943,118.6,1.598,3.007,17
0,0,1,4.647,11.635,15,0,3,150.374,1.718,1,0.924,120,1.598,3.007,17
0,0,1,5.647,8.635,15,10,3,150.374,1.746,1,0.965,117.1,1.597,3.007,17
0,0,1,5.647,8.635,15,7.845,3,150.374,1.749,1,0.969,116.7,1.597,3.007,17
0,0,1,5.647,8.635,15,6,3,150.374,1.747,1,0.966,116.8,1.597,3.007,17
0,0,1,5.647,8.635,15,4,3,150.374,1.742,1,0.957,117.4,1.597,3.007,17
0,0,1,5.647,8.635,15,2,3,150.374,1.732,1,0.943,118.6,1.597,3.007,17
0,0,1,5.647,8.635,15,0,3,150.374,1.718,1,0.925,120,1.597,3.007,17
0,0,1,5.647,9.635,15,10,3,150.374,1.747,1,0.967,117,1.596,3.007,17
0,0,1,5.647,9.635,15,7.845,3,150.374,1.75,1,0.97,116.6,1.596,3.007,17
0,0,1,5.647,9.635,15,6,3,150.374,1.748,1,0.968,116.7,1.596,3.007,17
0,0,1,5.647,9.635,15,4,3,150.374,1.742,1,0.959,117.3,1.596,3.007,17
0,0,1,5.647,9.635,15,2,3,150.374,1.733,1,0.945,118.5,1.596,3.007,17
0,0,1,5.647,9.635,15,0,3,150.374,1.719,1,0.926,119.9,1.596,3.007,17
0,0,1,5.647,10.635,15,10,3,150.374,1.747,1,0.967,117,1.596,3.007,17
0,0,1,5.647,10.635,15,7.845,3,150.374,1.75,1,0.971,116.6,1.596,3.007,17
0,0,1,5.647,10.635,15,6,3,150.374,1.748,1,0.968,116.7,1.596,3.007,17
0,0,1,5.647,10.635,15,4,3,150.374,1.743,1,0.959,117.3,1.596,3.007,17
0,0,1,5.647,10.635,15,2,3,150.374,1.733,1,0.945,118.4,1.596,3.007,17
0,0,1,5.647,10.635,15,0,3,150.374,1.719,1,0.926,119.9,1.596,3.007,17
0,0,1,5.647,11.635,15,10,3,150.374,1.746,1,0.965,117.1,1.597,3.007,17
0,0,1,5.647,11.635,15,7.845,3,150.374,1.749,1,0.969,116.7,1.597,3.007,17
0,0,1,5.647,11.635,15,6,3,150.374,1.747,1,0.966,116.8,1.597,3.007,17
0,0,1,5.647,11.635,15,4,3,150.374,1.742,1,0.958,117.4,1.597,3.007,17
0,0,1,5.647,11.635,15,2,3,150.374,1.732,1,0.944,118.5,1.597,3.007,17
0,0,1,5.647,11.635,15,0,3,150.374,1.718,1,0.925,120,1.597,3.007,17
0,0,1,6.647,9.635,15,10,3,150.374,1.745,1,0.963,117.2,1.598,3.007,17
