粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻2,每米宽度流量,压缩位置总_压_缩比阻
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.869,8.878,6.178,124.965,2.231,0.944,4.221,15.6,6.722,75.602,3.688,0.903,4.221,15.6,15.6,119.067,1.0,0.903,3.172,2.0,13.6,55.419,2.148,0.743,3.063,0.0,2.0,50.0,2.381,0.743,3.688,3.688,1382.51,278.82,2703.0,174.4,1.512,1.512,279.05,4.29,-210.0,-13.6,5.576,5.576,1661.56,283.11,2913.0,188.0,15.5,160.8
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.869,8.878,6.178,124.965,2.231,0.944,4.221,15.6,6.722,75.602,3.688,0.903,4.221,15.6,15.6,115.211,1.0,0.903,3.017,0.0,15.6,50.0,2.304,0.688,3.017,0.0,0.0,50.0,2.304,0.688,3.688,3.688,1382.51,278.82,2650.0,171.0,1.512,1.512,249.34,0.0,0.0,0.0,5.576,5.576,1631.85,278.82,2650.0,171.0,15.5,171.0
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.75,9.878,7.178,116.276,2.398,0.92,4.217,15.6,5.722,75.95,3.671,0.896,4.217,15.6,15.6,125.001,1.0,0.896,3.826,10.6,5.0,89.451,1.397,0.884,3.115,0.0,10.6,50.0,2.5,0.816,3.671,3.671,1382.51,278.82,3010.0,194.2,1.519,1.519,421.23,37.83,-871.0,-56.2,5.576,5.576,1803.74,316.64,3881.0,250.4,15.5,138.0
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.75,9.878,7.178,116.276,2.398,0.92,4.217,15.6,5.722,75.95,3.671,0.896,4.217,15.6,15.6,125.895,1.0,0.896,3.651,8.288,7.312,78.672,1.6,0.862,3.128,0.0,8.288,50.0,2.518,0.831,3.671,3.671,1382.51,278.82,2914.0,188.0,1.519,1.519,383.48,26.36,-754.0,-48.7,5.576,5.576,1765.99,305.18,3669.0,236.7,15.5,139.3
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.75,9.878,7.178,116.276,2.398,0.92,4.217,15.6,5.722,75.95,3.671,0.896,4.217,15.6,15.6,124.688,1.0,0.896,3.477,6.0,9.6,69.11,1.804,0.827,3.119,0.0,6.0,50.0,2.494,0.817,3.671,3.671,1382.51,278.82,2831.0,182.6,1.519,1.519,344.44,16.71,-586.0,-37.8,5.576,5.576,1726.95,295.53,3417.0,220.5,15.5,144.8
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.75,9.878,7.178,116.276,2.398,0.92,4.217,15.6,5.722,75.95,3.671,0.896,4.217,15.6,15.6,122.28,1.0,0.896,3.324,4.0,11.6,61.772,1.98,0.786,3.096,0.0,4.0,50.0,2.446,0.784,3.671,3.671,1382.51,278.82,2766.0,178.4,1.519,1.519,310.75,9.81,-408.0,-26.3,5.576,5.576,1693.26,288.62,3173.0,204.7,15.5,152.1
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.75,9.878,7.178,116.276,2.398,0.92,4.217,15.6,5.722,75.95,3.671,0.896,4.217,15.6,15.6,118.982,1.0,0.896,3.17,2.0,13.6,55.414,2.147,0.737,3.061,0.0,2.0,50.0,2.38,0.737,3.671,3.671,1382.51,278.82,2707.0,174.7,1.519,1.519,278.71,4.28,-209.0,-13.5,5.576,5.576,1661.22,283.1,2916.0,188.2,15.5,161.2
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.75,9.878,7.178,116.276,2.398,0.92,4.217,15.6,5.722,75.95,3.671,0.896,4.217,15.6,15.6,115.136,1.0,0.896,3.015,0.0,15.6,50.0,2.303,0.683,3.015,0.0,0.0,50.0,2.303,0.683,3.671,3.671,1382.51,278.82,2654.0,171.2,1.519,1.519,249.06,0.0,0.0,0.0,5.576,5.576,1631.57,278.82,2654.0,171.2,15.5,171.2
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.994,7.878,4.178,134.582,2.072,0.969,4.22,15.6,7.722,75.447,3.696,0.905,4.22,15.6,15.6,125.1,1.0,0.905,3.83,10.6,5.0,89.494,1.398,0.893,3.118,0.0,10.6,50.0,2.502,0.824,3.696,3.696,1295.87,278.82,3006.0,193.9,1.509,1.509,421.86,37.9,-878.0,-56.6,5.576,5.576,1717.73,316.72,3884.0,250.6,15.5,137.3
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.994,7.878,4.178,134.582,2.072,0.969,4.22,15.6,7.722,75.447,3.696,0.905,4.22,15.6,15.6,125.996,1.0,0.905,3.654,8.288,7.312,78.703,1.601,0.871,3.13,0.0,8.288,50.0,2.52,0.839,3.696,3.696,1295.87,278.82,2910.0,187.8,1.509,1.509,384.03,26.41,-760.0,-49.0,5.576,5.576,1679.9,305.23,3670.0,236.8,15.5,138.8
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.994,7.878,4.178,134.582,2.072,0.969,4.22,15.6,7.722,75.447,3.696,0.905,4.22,15.6,15.6,124.786,1.0,0.905,3.479,6.0,9.6,69.129,1.805,0.836,3.122,0.0,6.0,50.0,2.496,0.825,3.696,3.696,1295.87,278.82,2827.0,182.4,1.509,1.509,344.91,16.74,-591.0,-38.1,5.576,5.576,1640.78,295.56,3418.0,220.5,15.5,144.3
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.489,3.7,3.7,194.611,1.433,0.985,4.994,7.878,4.178,134.582,2.072,0.969,4.22,15.6,7.722,75.447,3.696,0.905,4.22,15.6,15.6,122.37,1.0,0.905,3.326,4.0,11.6,61.783,1.981,0.794,3.099,0.0,4.0,50.0,2.447,0.791,3.696,3.696,1295.87,278.82,2762.0,178.2,1.509,1.509,311.15,9.82,-411.0,-26.5,5.576,5.576,1607.02,288.64,3172.0,204.7,15.5,151.7
