alpha,Cl,Cd,Re,Cl/Cd
-4.87,-0.316,0.013,302700,-24.30769231
-4.11,-0.23909721,0.01201251,302700,-19.90401756
-3.35,-0.169,0.0115,302700,-14.69565217
-2.575,-0.10027244,0.01121144,302700,-8.943761016
-1.8,-0.03,0.0109,302700,-2.752293578
-1.015,0.04521124,0.01036584,302700,4.361560665
-0.23,0.119,0.0097,302700,12.26804124
0.52,0.18554928,0.00915765,302700,20.26166975
1.27,0.263,0.0092,302700,28.58695652
2.065,0.36935289,0.01018564,302700,36.26211902
2.86,0.479,0.0112,302700,42.76785714
3.61,0.56395328,0.01138327,302700,49.54229145
4.36,0.634,0.0114,302700,55.61403509
5.12,0.69803778,0.01195414,302700,58.39297348
5.88,0.759,0.0128,302700,59.296875
6.645,0.81938771,0.01358845,302700,60.30030725
7.41,0.878,0.0145,302700,60.55172414
8.17,0.93294035,0.01580257,302700,59.0372547
8.93,0.983,0.0176,302700,55.85227273
9.69,1.02655965,0.01994743,302700,51.46325366
10.45,1.062,0.0229,302700,46.37554585
