alpha,CL,CD,CDp,Re,Cl/Cd
-5,-0.3904,0.01661,0.0089,201600,-23.50391331
-4.5,-0.3119,0.01566,0.00812,201600,-19.91698595
-4,-0.2426,0.01481,0.00754,201600,-16.38082377
-3.5,-0.1626,0.01391,0.00684,201600,-11.68943206
-2.5,-0.0433,0.01224,0.00589,201600,-3.537581699
-2,0.0147,0.01142,0.0055,201600,1.287215412
-1.5,0.0664,0.01085,0.00523,201600,6.119815668
-1,0.1167,0.01051,0.00513,201600,11.10371075
-0.5,0.1682,0.01041,0.00509,201600,16.15754083
0,0.228,0.01053,0.00514,201600,21.65242165
0.5,0.3001,0.01076,0.00519,201600,27.89033457
1,0.3917,0.01101,0.00521,201600,35.57674841
1.5,0.4849,0.01117,0.00519,201600,43.41092211
2,0.5552,0.01125,0.0051,201600,49.35111111
2.5,0.5995,0.01141,0.00509,201600,52.54163015
3,0.6439,0.01166,0.00517,201600,55.22298456
4,0.7321,0.01228,0.00559,201600,59.61726384
4.5,0.7759,0.01263,0.00587,201600,61.4330958
5,0.8195,0.01302,0.00619,201600,62.94162826
5.5,0.8627,0.01344,0.00654,201600,64.1889881
6,0.9054,0.0139,0.00696,201600,65.13669065
6.5,0.9474,0.01443,0.00738,201600,65.65488565
7,0.9888,0.01498,0.0079,201600,66.00801068
7.5,1.028,0.01568,0.0085,201600,65.56122449
8,1.0649,0.01658,0.00931,201600,64.22798552
8.5,1.0975,0.01773,0.01028,201600,61.90073322
9,1.1254,0.01917,0.01151,201600,58.70631195
9.5,1.1495,0.0207,0.01291,201600,55.53140097
10,1.1671,0.02261,0.01472,201600,51.61875276
10.5,1.1858,0.0247,0.01678,201600,48.00809717
11,1.2009,0.02723,0.01927,201600,44.10209328
11.5,1.2187,0.0297,0.02181,201600,41.03367003
12,1.2349,0.03254,0.02477,201600,37.95021512
