alpha,Cl,Cd,Re,Cl/Cd
-4.88,-0.382,0.0175,201600,-21.82857143
-4.08,-0.26760412,0.01567585,201600,-17.07110747
-3.28,-0.171,0.0147,201600,-11.63265306
-2.525,-0.09177918,0.01410605,201600,-6.506369962
-1.77,-0.02,0.0134,201600,-1.492537313
-1.025,0.0470563,0.01233974,201600,3.813394772
-0.28,0.112,0.0113,201600,9.911504425
0.5,0.18208408,0.01072398,201600,16.9791514
1.28,0.271,0.0108,201600,25.09259259
2.04,0.38476168,0.01145424,201600,33.59120116
2.8,0.494,0.0123,201600,40.16260163
3.565,0.56952452,0.0129753,201600,43.89297511
4.33,0.628,0.0135,201600,46.51851852
5.105,0.69329291,0.01400398,201600,49.50684805
5.88,0.762,0.0146,201600,52.19178082
6.65,0.82637631,0.01538477,201600,53.71392033
7.42,0.887,0.0164,201600,54.08536585
8.18,0.94416523,0.01767908,201600,53.40578978
8.94,0.996,0.0194,201600,51.34020619
9.695,1.03866523,0.02173995,201600,47.77679939
10.45,1.069,0.0249,201600,42.93172691
